﻿
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Begin,Eind,Kwaliteit,Bloemendaalse polder,Kwaliteit van Bloemendaalse polder,De Dintel,Kwaliteit van De Dintel,De Halse Vliet,Kwaliteit van De Halse Vliet,Den Biggelaar,Kwaliteit van Den Biggelaar,Endekweek,Kwaliteit van Endekweek,Geluk,Kwaliteit van Geluk,Goudbloem,Kwaliteit van Goudbloem,Haagse Beemden,Kwaliteit van Haagse Beemden,Heerjansland/Zellebergen,Kwaliteit van Heerjansland/Zellebergen,Hoge Vucht,Kwaliteit van Hoge Vucht,Hogediep,Kwaliteit van Hogediep,Laakdijk/Schuivenoord,Kwaliteit van Laakdijk/Schuivenoord,Leurschans,Kwaliteit van Leurschans,Oude Prinslandse Polder,Kwaliteit van Oude Prinslandse Polder,Rooskensdonk/Kraaiennest,Kwaliteit van Rooskensdonk/Kraaiennest,Tonnekreek,Kwaliteit van Tonnekreek,Triangelpolder/Kruisland,Kwaliteit van Triangelpolder/Kruisland,Visvliet,Kwaliteit van Visvliet,Vuchtpolder,Kwaliteit van Vuchtpolder,Westpolder,Kwaliteit van Westpolder,Willemspolder,Kwaliteit van Willemspolder,Zonzeel,Kwaliteit van Zonzeel,Zwartenbergse polder,Kwaliteit van Zwartenbergse polder
06-02-2020 00:00:00,07-02-2020 00:00:00,HydroNET C2,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
07-02-2020 00:00:00,08-02-2020 00:00:00,HydroNET C2,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
08-02-2020 00:00:00,09-02-2020 00:00:00,HydroNET C2,0.41,25,0.46,25,0.51,25,0.46,25,0.32,25,0.47,25,0.38,25,0.52,25,0.47,25,0.54,25,0.47,25,0.52,25,0.44,25,0.46,25,0.49,25,0.45,25,0.48,25,0.47,25,0.51,25,0.44,25,0.44,25,0.5,25,0.46,25
09-02-2020 00:00:00,10-02-2020 00:00:00,HydroNET C2,3.1,25,2.85,25,3.94,25,3.66,25,3.56,25,2.92,25,3.25,25,3.66,25,3.47,25,3.68,25,2.26,25,2.71,25,2.44,25,2.74,25,3.23,25,2.9,25,2.93,25,2.42,25,3.44,25,4.29,25,2.84,25,2.62,25,3.5,25
10-02-2020 00:00:00,11-02-2020 00:00:00,HydroNET C2,2.31,25,1.85,25,4.59,25,2.56,25,3.02,25,1.74,25,1.93,25,5.34,25,2.57,25,5.65,25,3.2,25,2.55,25,2.86,25,2.38,25,3.41,25,1.61,25,3.25,25,2.08,25,5.58,25,3.32,25,1.89,25,1.54,25,4.43,25
11-02-2020 00:00:00,12-02-2020 00:00:00,HydroNET C2,1.19,25,1.09,25,1.47,25,1.34,25,1.03,25,0.91,25,1.02,25,1.41,25,0.96,25,1.51,25,0.35,25,1.4,25,0.42,25,0.79,25,1.55,25,1.34,25,0.48,25,0.5,25,1.65,25,1.15,25,1.07,25,1.81,25,1.66,25
12-02-2020 00:00:00,13-02-2020 00:00:00,HydroNET C2,0.17,25,0.05,25,0.46,25,0.28,25,0.59,25,0.08,25,0.72,25,0.48,25,0.59,25,0.89,25,0.16,25,0.43,25,0.22,25,0.28,25,0.32,25,0.03,25,0.15,25,0.14,25,0.49,25,0.9,25,0.08,25,0.11,25,0.46,25
13-02-2020 00:00:00,14-02-2020 00:00:00,HydroNET C2,10.42,25,11.9,25,11.07,25,10.45,25,9.41,25,12.52,25,10.37,25,10.71,25,11.89,25,10.37,25,11.41,25,11.23,25,10.89,25,11.6,25,11,25,11.8,25,10.92,25,11.58,25,11.01,25,10.97,25,12.17,25,10.38,25,11.4,25
14-02-2020 00:00:00,15-02-2020 00:00:00,HydroNET C2,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25
15-02-2020 00:00:00,16-02-2020 00:00:00,HydroNET C2,0.01,25,0.01,25,0,25,0.01,25,0,25,0.01,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0.01,25,0,25,0.02,25,0,25,0,25,0,25,0,25,0.01,25,0.01,25,0,25
16-02-2020 00:00:00,17-02-2020 00:00:00,HydroNET C2,12.54,25,12.75,25,13.85,25,13.68,25,12.31,25,11.31,25,12.52,25,12.33,25,11.71,25,11.35,25,11.48,25,13.9,25,10.86,25,10.84,25,14.3,25,12.8,25,10.44,25,10.99,25,11.61,25,13.73,25,11.78,25,14.71,25,13.77,25
17-02-2020 00:00:00,18-02-2020 00:00:00,HydroNET C2,1.63,25,1.55,25,2.23,25,1.85,25,2.03,25,1.56,25,2.29,25,1.8,25,2.13,25,1.78,25,1.41,25,2.23,25,1.4,25,1.46,25,2.23,25,1.56,25,2.1,25,1.6,25,2.05,25,2.19,25,1.51,25,1.78,25,2.37,25
18-02-2020 00:00:00,19-02-2020 00:00:00,HydroNET C2,6.74,25,8.17,25,6.56,25,6.23,25,6.1,25,8.98,25,6.75,25,6.19,25,7.34,25,5.85,25,9.27,25,6.31,25,8.54,25,8.26,25,5.98,25,8.2,25,8.25,25,8.91,25,6.38,25,6.8,25,8.43,25,6.26,25,6.6,25
19-02-2020 00:00:00,20-02-2020 00:00:00,HydroNET C2,1.76,25,2.42,25,5.83,25,2.06,25,4.37,25,1.34,25,3.72,25,4.65,25,3.38,25,4.39,25,1.44,25,2.75,25,2.19,25,1.88,25,2.42,25,1.62,25,2.8,25,1.28,25,2.81,25,6.01,25,1.87,25,3.85,25,2.64,25
20-02-2020 00:00:00,21-02-2020 00:00:00,HydroNET C2,9.49,25,9.58,25,10.3,25,9.92,25,7.46,25,7.6,25,8.99,25,11.94,25,8.26,25,11.23,25,7.37,25,9.93,25,7.79,25,8.17,25,10.86,25,10.1,25,7.78,25,7.41,25,10.76,25,9.45,25,8.66,25,9.48,25,11.64,25
