Eind,Bloemendaalse polder,De Dintel,De Halse Vliet,Den Biggelaar,Endekweek,Geluk,Goudbloem,Haagse Beemden,Heerjansland/Zellebergen,Hoge Vucht,Hogediep,Laakdijk/Schuivenoord,Leurschans,Oude Prinslandse Polder,Rooskensdonk/Kraaiennest,Tonnekreek,Triangelpolder/Kruisland,Visvliet,Vuchtpolder,Westpolder,Willemspolder,Zonzeel,Zwartenbergse polder
2016-01-26,1.1598,1.0192,1.2943,1.338,1.072,0.8925,1.074,1.6696,0.9727,1.7819,0.6792,1.9201,0.6607,0.8079,1.5719,1.1129,0.7581,0.7342,1.8963,1.2135,0.8894,1.6622,1.286
2016-01-27,6.9813,6.3375,9.0234,8.4666,7.0347,5.359,6.4975,9.2738,5.9306,9.2368,4.7465,9.8755,5.0346,5.4222,9.8022,6.9804,5.0554,5.1084,10.0919,8.3222,5.8129,9.447000000000001,8.8297
2016-01-28,0.8956,0.665,1.3791,1.3078,0.8751,0.5635,0.7303,1.6448,0.6965,1.5571,0.5179,2.0368,0.5514,0.5844,2.2645,0.7714,0.5737,0.5561,1.9682,1.1688,0.6042,1.2114,1.3132
2016-01-29,0.146,0.2951,0.2553,0.1421,0.2714,0.3379,0.22699999999999998,0.1771,0.2334,0.21600000000000005,0.3509,0.1747,0.2477,0.2006,0.2038,0.2452,0.2689,0.247,0.243,0.2512,0.2352,0.1886,0.2042
2016-01-30,24.2627,22.1641,26.3347,26.9949,22.6733,19.5549,22.7584,24.9074,21.746,24.0676,18.6922,26.0949,19.2519,20.332,26.3252,23.4123,19.5895,18.7538,24.8396,24.7474,20.3216,25.9248,26.7556
2016-01-31,5.6921,5.0645,6.024,6.0104,5.9185,4.7724,5.6308,5.7405,5.471,5.541,4.0377,5.7914,4.279,5.1631,5.6082,5.5487,4.8356,4.6833,5.5527,6.388999999999999,4.9164,6.1603,6.2371
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0024,0.0,0.0,0.0
2016-02-02,2.1398,2.1723,2.9456,2.4873,2.6141,1.8905,2.6010000000000004,3.4035,2.8653,3.552,1.6496,2.7892,2.3365,2.363,2.8841,2.0724,3.1339,1.9119,3.4613,2.9019,2.0994,2.4564,2.6994
2016-02-03,1.9478,1.0454,2.41,1.8828,1.4869999999999999,0.4412,1.1427,1.8806,1.6595,1.4991,1.2717,0.9796,1.679,0.9362,1.0606,1.5631,2.3914,0.7796,1.0262,1.9932,0.4508,1.3216,2.6034
2016-02-04,5.2058,4.0662,6.3457,5.8771,4.4322,2.8507,4.0859,4.7515,3.5834,4.2399,2.3296,5.7381,2.5488,2.9599,5.1438,4.4533,2.9499,2.8078,4.5522,5.3605,3.2769999999999997,6.0142,6.4574
